,GB Indices,mixed,tilt,twist,count,max_theta,min_theta,h1,k1,l1,h2,k2,l2,ni1,al,au1,mishin cu,cos_min_theta,sin_min_theta,tan_min_theta,dot_hkl
332,339,5.0,6.0,1.0,12,180.0,16.0989,10.0,1.0,1.0,10.0,1.0,1.0,0.906967715,0.369641255,0.339375886,0.595133476,-0.924552519447,-0.381054640156,0.412150345319,0.00980392156863
333,340,15.0,1.0,1.0,17,180.0,45.573,14.0,2.0,2.0,14.0,2.0,2.0,1.292326454,0.475401817,0.48512711,0.94849648,-0.0199052082489,0.999801871715,-50.2281543209,0.00490196078431
334,341,15.0,1.0,1.0,17,180.0,48.1897,14.0,2.0,2.0,14.0,2.0,2.0,1.371859166,0.501677733,0.506532369,1.005133897,-0.483795302169,-0.875181184441,1.80899066303,0.00490196078431
335,342,20.0,4.0,0.0,24,174.924,40.1192,14.0,2.0,2.0,10.0,10.0,2.0,1.300577733,0.482034883,0.479231051,0.949826298,-0.750812836614,0.660515014497,-0.879733246805,0.00394079200308
336,343,10.0,0.0,0.0,10,180.0,36.8699,14.0,2.0,2.0,10.0,10.0,2.0,1.292775067,0.489613242,0.47197313,0.934893887,0.675457156116,-0.737399233965,-1.09170393309,0.00394079200308
337,344,15.0,1.0,1.0,17,180.0,48.1897,10.0,10.0,2.0,10.0,10.0,2.0,1.238556958,0.478285759,0.447571777,0.890064611,-0.483795302169,-0.875181184441,1.80899066303,0.00490196078431
338,345,15.0,1.0,1.0,17,180.0,45.573,10.0,10.0,2.0,10.0,10.0,2.0,1.302852842,0.516722297,0.475097401,0.934429252,-0.0199052082489,0.999801871715,-50.2281543209,0.00490196078431
339,346,7.0,9.0,1.0,17,180.0,45.573,12.0,5.0,1.0,12.0,5.0,1.0,1.326917736,0.475626123,0.493057951,0.981052981,-0.0199052082489,0.999801871715,-50.2281543209,0.00588235294118
340,347,11.0,1.0,0.0,12,180.0,22.8435,12.0,5.0,1.0,12.0,5.0,1.0,1.226556555,0.478766416,0.452666741,0.86484614,-0.658214743495,-0.752830227506,1.14374561638,0.00588235294118
341,348,15.0,2.0,0.0,17,180.0,48.1897,12.0,5.0,1.0,12.0,5.0,1.0,1.324947042,0.511258829,0.481554226,0.960769255,-0.483795302169,-0.875181184441,1.80899066303,0.00588235294118
342,349,20.0,4.0,0.0,24,174.924,40.1192,12.0,5.0,1.0,9.0,8.0,5.0,1.359554346,0.513678136,0.494772294,0.985362872,-0.750812836614,0.660515014497,-0.879733246805,0.00529411764706
343,350,7.0,0.0,0.0,7,180.0,60.0,12.0,5.0,1.0,9.0,8.0,5.0,0.960288598,0.381849943,0.349902274,0.654046002,-0.952412980415,-0.304810621102,0.32004038938,0.00529411764706
344,351,10.0,2.0,0.0,12,180.0,36.8699,12.0,5.0,1.0,9.0,8.0,5.0,1.211560056,0.464795319,0.440153637,0.874026689,0.675457156116,-0.737399233965,-1.09170393309,0.00529411764706
345,352,12.0,4.0,0.0,16,180.0,61.9275,12.0,5.0,1.0,9.0,8.0,5.0,0.945276078,0.345015595,0.343701799,0.663146441,0.618194211255,-0.786025392192,-1.27148617357,0.00529411764706
346,353,7.0,9.0,1.0,17,180.0,45.573,9.0,8.0,5.0,9.0,8.0,5.0,1.184563155,0.446546375,0.430011774,0.852829715,-0.0199052082489,0.999801871715,-50.2281543209,0.00588235294118
347,354,11.0,1.0,0.0,12,180.0,16.0989,9.0,8.0,5.0,9.0,8.0,5.0,1.038171054,0.411650677,0.37904611,0.719847945,-0.924552519447,-0.381054640156,0.412150345319,0.00588235294118
348,355,15.0,2.0,0.0,17,180.0,48.1897,9.0,8.0,5.0,9.0,8.0,5.0,1.148690121,0.463433458,0.428441628,0.83254599,-0.483795302169,-0.875181184441,1.80899066303,0.00588235294118
349,356,8.0,2.0,2.0,12,180.0,16.0989,1.0,1.0,0.0,1.0,1.0,0.0,1.117928073,0.45535842,0.405962902,0.776373208,-0.924552519447,-0.381054640156,0.412150345319,0.5
350,357,8.0,2.0,2.0,12,180.0,22.8435,1.0,1.0,0.0,1.0,1.0,0.0,1.269062655,0.502238499,0.450920354,0.890865706,-0.658214743495,-0.752830227506,1.14374561638,0.5
351,358,11.0,1.0,0.0,12,180.0,22.8435,5.0,2.0,1.0,5.0,2.0,1.0,1.281896197,0.497127513,0.469794152,0.923518338,-0.658214743495,-0.752830227506,1.14374561638,0.0333333333333
352,359,15.0,2.0,0.0,17,180.0,45.573,5.0,2.0,1.0,5.0,2.0,1.0,1.413868587,0.535307701,0.526399525,1.035992076,-0.0199052082489,0.999801871715,-50.2281543209,0.0333333333333
353,360,21.0,2.0,1.0,24,174.924,40.1192,5.0,2.0,1.0,5.0,2.0,1.0,1.307082624,0.495925871,0.483765249,0.9474871,-0.750812836614,0.660515014497,-0.879733246805,0.0333333333333
354,361,12.0,0.0,1.0,13,180.0,61.9275,5.0,2.0,1.0,5.0,2.0,1.0,1.112032013,0.427688599,0.408109837,0.776933975,0.618194211255,-0.786025392192,-1.27148617357,0.0333333333333
355,362,11.0,1.0,0.0,12,180.0,16.0989,5.0,2.0,1.0,5.0,2.0,1.0,1.033893207,0.447796083,0.386752644,0.723308676,-0.924552519447,-0.381054640156,0.412150345319,0.0333333333333
356,363,15.0,2.0,0.0,17,180.0,45.573,5.0,2.0,1.0,5.0,2.0,1.0,0.972112761,0.375985927,0.3585541,0.688733415,-0.0199052082489,0.999801871715,-50.2281543209,0.0333333333333
357,364,7.0,9.0,1.0,17,180.0,44.0241,11.0,8.0,5.0,11.0,8.0,5.0,1.289298315,0.465612436,0.463834005,0.928148667,0.999126388106,0.0417906758782,0.0418272166321,0.0047619047619
358,365,14.0,3.0,0.0,17,180.0,34.0477,11.0,8.0,5.0,11.0,8.0,5.0,1.271770356,0.482451453,0.458370537,0.916725052,-0.872832760957,0.488019437522,-0.55912135675,0.0047619047619
359,366,7.0,1.0,0.0,8,180.0,60.0,11.0,8.0,5.0,11.0,8.0,5.0,0.383532242,0.180470682,0.140720348,0.249284742,-0.952412980415,-0.304810621102,0.32004038938,0.0047619047619
360,367,16.0,4.0,0.0,20,180.0,44.4153,13.0,5.0,4.0,11.0,8.0,5.0,1.219442831,0.438631556,0.441980133,0.876686324,0.907709853057,0.419598406412,0.462260495465,0.00460317460317
361,368,10.0,1.0,0.0,11,180.0,36.8699,13.0,5.0,4.0,11.0,8.0,5.0,1.248234185,0.434321665,0.456095427,0.908906365,0.675457156116,-0.737399233965,-1.09170393309,0.00460317460317
362,369,7.0,9.0,1.0,17,180.0,52.4449,13.0,5.0,4.0,13.0,5.0,4.0,0.83642329,0.297718946,0.312411028,0.578855225,-0.571736798172,0.820437099122,-1.43499089396,0.0047619047619
363,370,14.0,3.0,0.0,17,180.0,34.0477,13.0,5.0,4.0,13.0,5.0,4.0,1.124208657,0.424083671,0.410112574,0.801864051,-0.872832760957,0.488019437522,-0.55912135675,0.0047619047619
364,371,7.0,1.0,0.0,8,180.0,60.0,13.0,5.0,4.0,13.0,5.0,4.0,0.895496035,0.362447422,0.323193767,0.613174135,-0.952412980415,-0.304810621102,0.32004038938,0.0047619047619
365,372,16.0,3.0,0.0,19,180.0,48.1897,13.0,5.0,4.0,11.0,8.0,5.0,1.24810601,0.458098165,0.455887143,0.907624613,-0.483795302169,-0.875181184441,1.80899066303,0.00460317460317
366,373,10.0,1.0,0.0,11,180.0,38.2132,13.0,5.0,4.0,11.0,8.0,5.0,1.05651613,0.377636183,0.372557241,0.758124264,0.870741474923,0.491741073991,0.564738315738,0.00460317460317
367,374,15.0,1.0,1.0,17,180.0,52.4449,2.0,1.0,1.0,2.0,1.0,1.0,1.151558041,0.465147801,0.428906263,0.821763251,-0.571736798172,0.820437099122,-1.43499089396,0.166666666667
368,375,15.0,1.0,1.0,17,180.0,34.0477,2.0,1.0,1.0,2.0,1.0,1.0,1.356830623,0.516994669,0.488475687,0.98247893,-0.872832760957,0.488019437522,-0.55912135675,0.166666666667
369,376,15.0,1.0,1.0,17,180.0,44.0241,2.0,1.0,1.0,2.0,1.0,1.0,1.231731628,0.465692545,0.440714403,0.881637091,0.999126388106,0.0417906758782,0.0418272166321,0.166666666667
370,377,1.0,0.0,1.0,2,122.878,34.0477,2.0,1.0,1.0,2.0,1.0,1.0,1.12473738,0.47138032,0.41631305,0.793452554,-0.872832760957,0.488019437522,-0.55912135675,0.166666666667
371,378,5.0,7.0,1.0,13,180.0,31.8908,14.0,4.0,0.0,14.0,4.0,0.0,1.273596853,0.493250213,0.477981343,0.936415967,0.889350584235,0.457225916065,0.514112122002,0.00471698113208
372,379,5.0,7.0,1.0,13,180.0,33.3985,13.0,7.0,0.0,13.0,7.0,0.0,1.27854762,0.483380723,0.478429956,0.932378449,-0.400238547309,0.916410991449,-2.28966199685,0.0045871559633
373,380,4.0,2.0,4.0,10,180.0,33.3985,2.0,0.0,0.0,2.0,0.0,0.0,0.968363636,0.343397383,0.365283298,0.729557217,-0.400238547309,0.916410991449,-2.28966199685,0.25
374,381,7.0,9.0,1.0,17,180.0,9.43001,11.0,10.0,1.0,11.0,10.0,1.0,0.721802617,0.302092925,0.273926424,0.504225215,-0.999986312914,-0.00523201536014,0.00523208697217,0.0045045045045
375,382,7.0,4.0,0.0,11,180.0,50.57,11.0,10.0,1.0,11.0,10.0,1.0,1.202331442,0.441227104,0.436484622,0.853999314,0.953991720226,0.299832949722,0.314293031444,0.0045045045045
376,383,5.0,2.0,0.0,7,180.0,60.0,11.0,10.0,1.0,11.0,10.0,1.0,1.004813459,0.354196143,0.35889056,0.684183196,-0.952412980415,-0.304810621102,0.32004038938,0.0045045045045
377,384,7.0,9.0,1.0,17,180.0,50.57,7.0,4.0,3.0,7.0,4.0,3.0,1.150244245,0.422273196,0.421648342,0.819472119,0.953991720226,0.299832949722,0.314293031444,0.0135135135135
378,385,7.0,4.0,0.0,11,180.0,9.43001,7.0,4.0,3.0,7.0,4.0,3.0,0.815466644,0.339984718,0.308693947,0.571469129,-0.999986312914,-0.00523201536014,0.00523208697217,0.0135135135135
379,386,5.0,2.0,0.0,7,180.0,60.0,7.0,4.0,3.0,7.0,4.0,3.0,0.932778996,0.347498989,0.334537272,0.624613772,-0.952412980415,-0.304810621102,0.32004038938,0.0135135135135
380,387,6.0,1.0,3.0,10,180.0,9.43001,2.0,2.0,2.0,2.0,2.0,2.0,0.404360712,0.201154955,0.142242428,0.264056934,-0.999986312914,-0.00523201536014,0.00523208697217,0.0833333333333
381,388,6.0,1.0,3.0,10,180.0,50.57,2.0,2.0,2.0,2.0,2.0,2.0,0.403639727,0.200145575,0.141986078,0.262999489,0.953991720226,0.299832949722,0.314293031444,0.0833333333333
